crop,group,price_per_ton,base_yield_t_ha,ideal_ph_min,ideal_ph_max,drainage_pref,water_need_mm,heat_tolerance_c_min,heat_tolerance_c_max
Wheat,cereal,220,3.5,6.0,7.5,well,350,10,25
Rice,cereal,180,4.5,5.5,7.0,poor,900,20,35
Maize,cereal,200,5.0,5.8,7.5,moderate,500,18,32
Chickpea,legume,400,1.8,6.0,8.0,well,300,12,28
Soybean,legume,380,2.5,6.0,7.5,moderate,450,15,30
Groundnut,oilseed,450,2.0,5.5,7.0,well,400,20,34
Mustard,oilseed,420,1.6,6.0,7.5,moderate,300,8,24
Cotton,fiber,500,1.2,5.8,7.5,well,650,22,38
Sorghum,cereal,160,2.8,5.5,7.8,well,300,20,36
Millet,cereal,150,2.0,5.0,7.8,well,250,18,34
Vegetables,horticulture,600,10.0,6.0,7.5,moderate,550,16,30
Fruits,horticulture,700,8.0,5.5,7.5,moderate,600,18,32

